,compound,neg,neu,pos,published
324,0.4404,0.0,0.903,0.097,2018-05-19T12:17:00.000+03:00
325,0.4404,0.0,0.903,0.097,2018-05-19T12:16:00.000+03:00
326,0.4404,0.0,0.903,0.097,2018-05-19T12:16:00.000+03:00
327,0.4404,0.0,0.903,0.097,2018-05-19T12:16:00.000+03:00
328,0.4404,0.0,0.903,0.097,2018-05-19T12:16:00.000+03:00
329,0.4404,0.0,0.903,0.097,2018-05-19T12:15:00.000+03:00
330,0.4404,0.0,0.903,0.097,2018-05-19T12:15:00.000+03:00
331,0.4404,0.0,0.903,0.097,2018-05-19T12:14:00.000+03:00
332,0.9966,0.012,0.87,0.118,2018-05-19T12:12:00.000+03:00
333,0.4404,0.0,0.903,0.097,2018-05-19T12:12:00.000+03:00
334,0.4404,0.0,0.903,0.097,2018-05-19T12:11:00.000+03:00
335,0.0,0.0,1.0,0.0,2018-05-19T12:09:00.000+03:00
336,0.4404,0.0,0.903,0.097,2018-05-19T12:09:00.000+03:00
337,0.0,0.0,1.0,0.0,2018-05-19T12:07:00.000+03:00
338,0.4404,0.0,0.903,0.097,2018-05-19T12:04:00.000+03:00
339,-0.3612,0.116,0.791,0.093,2018-05-19T12:03:00.000+03:00
340,0.4404,0.0,0.903,0.097,2018-05-19T12:03:00.000+03:00
341,0.7059,0.04,0.815,0.145,2018-05-19T12:03:00.000+03:00
342,0.4404,0.0,0.903,0.097,2018-05-19T12:03:00.000+03:00
343,0.4404,0.0,0.903,0.097,2018-05-19T12:03:00.000+03:00
344,0.4404,0.0,0.903,0.097,2018-05-19T12:02:00.000+03:00
345,-0.9667,0.2,0.749,0.051,2018-05-19T12:02:00.000+03:00
346,0.4404,0.0,0.903,0.097,2018-05-19T12:01:00.000+03:00
347,0.631,0.011,0.942,0.047,2018-05-19T12:00:00.000+03:00
348,0.4404,0.0,0.903,0.097,2018-05-19T11:59:00.000+03:00
349,0.5719,0.0,0.85,0.15,2018-05-19T11:58:00.000+03:00
350,0.4404,0.0,0.903,0.097,2018-05-19T11:57:00.000+03:00
351,0.4404,0.0,0.903,0.097,2018-05-19T11:57:00.000+03:00
352,0.9483,0.026,0.84,0.134,2018-05-19T11:57:00.000+03:00
353,0.7126,0.134,0.667,0.2,2018-05-19T11:57:00.000+03:00
354,0.4404,0.0,0.903,0.097,2018-05-19T11:54:00.000+03:00
355,0.0,0.0,0.0,0.0,2018-05-19T11:54:00.000+03:00
356,0.4404,0.0,0.903,0.097,2018-05-19T11:52:00.000+03:00
357,0.4404,0.0,0.903,0.097,2018-05-19T11:52:00.000+03:00
358,0.6249,0.0,0.423,0.577,2018-05-19T11:51:00.000+03:00
359,0.4404,0.0,0.903,0.097,2018-05-19T11:51:00.000+03:00
360,0.4404,0.0,0.903,0.097,2018-05-19T11:51:00.000+03:00
361,0.4404,0.0,0.903,0.097,2018-05-19T11:51:00.000+03:00
362,0.0,0.0,0.0,0.0,2018-05-19T11:50:00.000+03:00
363,0.0,0.0,0.0,0.0,2018-05-19T11:50:00.000+03:00
364,0.9657,0.0,0.786,0.214,2018-05-19T11:50:00.000+03:00
365,0.4404,0.0,0.903,0.097,2018-05-19T11:49:00.000+03:00
366,0.0,0.0,1.0,0.0,2018-05-19T11:48:00.000+03:00
